player_id	full_name	seasons_played	NBA All-Star	NBA All-Star Game MVP	MVP	All-NBA-First	All-NBA-Second	All-NBA-Third	DPOY	All-Defensive-First	All-Defensive-Second	Championships	FMVP	Olympic Gold	Olympic Silver	Olympic Bronze	season_PPG	season_APG	season_RBG	season_SPG	season_BPG	season_TPG	season_MPG	season_FG_PCT	season_FG3_PCT	season_FT_PCT	season_GP	season_PM	playoff_PPG	playoff_APG	playoff_RBG	playoff_SPG	playoff_BPG	playoff_TPG	playoff_MPG	playoff_FG_PCT	playoff_FG3_PCT	playoff_FT_PCT	playoff_GP	playoff_PM
101111	Charlie Villanueva	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.59090909090909	0.7636363636363636	4.3	0.4636363636363637	0.4818181818181818	0.9	19.16363636363636	0.42127272727272724	0.32936363636363636	0.745090909090909	59.63636363636363	-2.0363636363636366	9.59090909090909	0.7636363636363636	4.3	0.4636363636363637	0.4818181818181818	0.9	19.16363636363636	0.42127272727272724	0.32936363636363636	0.745090909090909	59.63636363636363	-2.0363636363636366
369	Charlie Ward	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.845454545454547	3.663636363636364	2.4545454545454546	1.1636363636363638	0.18181818181818182	1.5636363636363635	21.199999999999996	0.3815454545454546	0.3336363636363637	0.7685454545454544	57.27272727272727	1.2333333333333334	5.845454545454547	3.663636363636364	2.4545454545454546	1.1636363636363638	0.18181818181818182	1.5636363636363635	21.199999999999996	0.3815454545454546	0.3336363636363637	0.7685454545454544	57.27272727272727	1.2333333333333334
78631	Charlie Yelverton	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9	1.2	2.9	0.0	0.0	0.0	17.8	0.389	0.0	0.707	69.0		7.9	1.2	2.9	0.0	0.0	0.0	17.8	0.389	0.0	0.707	69.0	
201978	Chase Budinger	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9	1.1428571428571428	3.0285714285714285	0.5428571428571428	0.14285714285714285	0.7714285714285715	19.785714285714285	0.42628571428571427	0.34428571428571425	0.7859999999999999	58.142857142857146	-0.11428571428571425	7.9	1.1428571428571428	3.0285714285714285	0.5428571428571428	0.14285714285714285	0.7714285714285715	19.785714285714285	0.42628571428571427	0.34428571428571425	0.7859999999999999	58.142857142857146	-0.11428571428571425
1626184	Chasson Randle	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.75	1.7	1.25	0.5	0.07500000000000001	0.675	15.1	0.30374999999999996	0.2695	0.8179999999999998	29.75	-2.6	4.75	1.7	1.25	0.5	0.07500000000000001	0.675	15.1	0.30374999999999996	0.2695	0.8179999999999998	29.75	-2.6
1497	Chauncey Billups	17	5	0	0	0	1	2	0	0	2	1	1	0	0	0	14.035294117647059	4.905882352941176	2.7058823529411766	0.9411764705882353	0.14705882352941177	1.9647058823529406	30.03529411764706	0.4014705882352942	0.368	0.8873529411764707	61.35294117647059	2.005882352941176	14.035294117647059	4.905882352941176	2.7058823529411766	0.9411764705882353	0.14705882352941177	1.9647058823529406	30.03529411764706	0.4014705882352942	0.368	0.8873529411764707	61.35294117647059	2.005882352941176
1630602	Chaundee Brown Jr.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0.8	3.2	0.4	0.0	0.2	20.8	0.313	0.333	0.833	5.0	-4.0	6.2	0.8	3.2	0.4	0.0	0.2	20.8	0.313	0.333	0.833	5.0	-4.0
1627767	Cheick Diallo	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.88	0.32	4.08	0.28	0.32	0.54	11.479999999999999	0.5394	0.1166	0.7846	36.6	-3.72	4.88	0.32	4.08	0.28	0.32	0.54	11.479999999999999	0.5394	0.1166	0.7846	36.6	-3.72
200798	Cheikh Samb	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	0.05	1.55	0.2	0.55	0.2	6.199999999999999	0.469	0.0	0.4645	11.0	0.4	1.3	0.05	1.55	0.2	0.55	0.2	6.199999999999999	0.469	0.0	0.4645	11.0	0.4
685	Cherokee Parks	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.022222222222222	0.5222222222222221	3.333333333333334	0.4	0.5888888888888889	0.5444444444444445	14.922222222222224	0.45522222222222225	0.08544444444444445	0.607	52.44444444444444	-2.325	4.022222222222222	0.5222222222222221	3.333333333333334	0.4	0.5888888888888889	0.5444444444444445	14.922222222222224	0.45522222222222225	0.08544444444444445	0.607	52.44444444444444	-2.325
